Дата,Регламент,Приход,Расход,Остаток
,,66700,65900,680
13.11.2025,Реализация розницы,,50,680
13.11.2025,Акт выпуска,800,,730
10.11.2025,Реализация розницы,,150,-70
08.11.2025,Реализация розницы,,610,80
08.11.2025,Акт выпуска,600,,690
07.11.2025,Реализация розницы,,910,90
06.11.2025,Инвентаризация,,240,1000
06.11.2025,Реализация розницы,,60,1240
04.11.2025,Акт выпуска,1000,,1300
03.11.2025,Реализация розницы,,150,300
02.11.2025,Реализация розницы,,470,450
01.11.2025,Реализация розницы,,520,920
31.10.2025,Реализация розницы,,500,1440
30.10.2025,Реализация розницы,,50,1940
30.10.2025,Акт выпуска,1000,,1990
26.10.2025,Реализация розницы,,50,990
25.10.2025,Реализация розницы,,520,1040
25.10.2025,Акт выпуска,400,,1560
24.10.2025,Реализация розницы,,960,1160
21.10.2025,Акт выпуска,1200,,2120
19.10.2025,Реализация розницы,,100,920
18.10.2025,Реализация розницы,,340,1020
18.10.2025,Акт выпуска,1000,,1360
17.10.2025,Реализация розницы,,50,360
16.10.2025,Реализация розницы,,800,410
16.10.2025,Акт выпуска,1000,,1210
15.10.2025,Реализация розницы,,100,210
11.10.2025,Реализация розницы,,420,310
10.10.2025,Реализация розницы,,300,730
09.10.2025,Реализация розницы,,50,1030
08.10.2025,Реализация розницы,,100,1080
07.10.2025,Реализация розницы,,50,1180
05.10.2025,Реализация розницы,,50,1230
05.10.2025,Акт выпуска,1000,,1280
04.10.2025,Реализация розницы,,210,280
03.10.2025,Реализация розницы,,260,490
02.10.2025,Инвентаризация,1790,190,750
02.10.2025,Реализация розницы,,50,-850
